Place,Date,Class,Description
"Shasta County, California",July 2022,(Class B)," - Bigfoot-like Howls and Stalking at North Battle Creek Reservoir, Lassen National Forest"
"Shasta County, California",September 2018,(Class A), - Motorist daylight sighting between Redding and Lassen National Forest
"Shasta County, California",July 2014,(Class B), - Boater spots something odd during the day on Lake Shasta 
"Shasta County, California",January 2013,(Class B), - Footprints found along snow covered road near Whiskeytown Lake
"Shasta County, California",June 1991,(Class A)," - Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta"
"Shasta County, California",August 1970,(Class B), - Woman describes a childhood encounter outside a tent on the edge of Lake Shasta
"Shasta County, California",January 2006,(Class B), - Evening sighting by a motorist near Shingletown
"Shasta County, California",April 2003,(Class B)," - Possible camp stalking in Jones Valley, Lake Shasta"
"Shasta County, California",June 2002,(Class B), - Family hears late night vocalizations near Lake McCumber
"Shasta County, California",August 2001,(Class B), - Couple hears late night screams near Viola
"Shasta County, California",Winter 2001,(Class A), - Daylight sighting by guide and two tourists at Lake Shasta Caverns
"Shasta County, California",September 2000,(Class B), - Hunter sees prints near Round Mountain
"Shasta County, California",Summer 1970  1990,(Class A)," - Lady has two Northern California sightings, over a 20year period."
"Shasta County, California",Fall 1994,(Class A), - Woman recalls a nighttime sighting on Hwy. 299 near Burney
"Shasta County, California",September 1992,(Class B), - Residents Awakened by Early Morning Vocalizations
"Shasta County, California", 1992,(Class B), - Men hear evening vocalization outside their home in Redding
"Shasta County, California",August 1991,(Class B), - Man hears strange late night scream outside Shingletown
"Shasta County, California",Summer 1990,(Class B), - Loud Howling Sounds Heard
"Shasta County, California",June 1987-89,(Class B)," - Possible ""Ohio howls"" south of Shingletown (midway between Redding and Lassen)"
"Shasta County, California",October 1987,(Class A), - Loud Screams Heard by Hunters While Camping Near a Natural Spring
"Shasta County, California",September 1986,(Class B), - Man had deer stolen by creature near Lakehead
"Shasta County, California",June 1986,(Class A)," - Unusual ""Wild"" Smell from Animal Walking Around Camper's Truck Near Sheep Camp"
"Shasta County, California",August 1984,(Class B)," - Large Footprints Found, Vocalizations Heard by Vacationer Near Lake Shasta"
"Shasta County, California",July 1979,(Class B), - Couple Has Frightening Encounter Near Lake Shasta
"Shasta County, California",Fall 1978 or 79,(Class A), - Husband and wife have late night sighting on Highway 299
"Shasta County, California",August 1977,(Class A), - Two Young Fishermen Have Mid-day Encounter at Lake Shasta
"Shasta County, California",Spring 1973-74,(Class B), - Man recalls adversarial encounter with an unknown creature near French Gulch
"Sierra County, California",August 2002,(Class B), - Family Encounters Red Eyes and Unusual Smells
"Sierra County, California",August 2001,(Class A), - Three young people on an early morning outing hear roar followed by sighting
"Sierra County, California",April 1987,(Class B), - A sheriff's Deputy Discusses Reports in the Area
"Siskiyou County, California",December 2011,(Class A)," - Family has sighting while driving along Hwy 96 near Yreka, CA "
"Siskiyou County, California",May 2010,(Class A), - Three brothers have multiple observations west of Yreka [Includes audio of knocking]
"Siskiyou County, California",April 2010,(Class A), - Daughter and Mother both observe a large dark creature in the Klamath River bottom
"Siskiyou County, California",June 2009,(Class A), - Man has close encounter near Oregon border
"Siskiyou County, California",April 2003-2005,(Class B), - Happy Camp local named Tara claims multiple observations. She is not credible.
"Siskiyou County, California",August 2005,(Class A), - Multi-witness road-crossing sighting on Hwy 96 outside Happy Camp
"Siskiyou County, California",Summer late 70's,(Class B), - Possible vocals heard by family camping near Happy Camp
"Siskiyou County, California",Spring 1992,(Class A), - Early morning sighting by a young lady while mountain hiking
"Siskiyou County, California",August 1982,(Class A), - Young Native American has a short face to face encounter
"Siskiyou County, California",June 2000,(Class A)," - On a warm summers day, two young men have three separate sightings"
"Siskiyou County, California",September 1979,(Class B), - Son and step Father have a strange encounter on the north/east side of Mt.Shasta
"Siskiyou County, California",October 2002,(Class A), - Parents pursue 7 1/2' tall female biped across pasture after being alerted by daughter
"Siskiyou County, California",October 1979,(Class A), - Hunter/Logger has a sighting in a closed logging area near Hilt
"Siskiyou County, California",July 2001,(Class A), - Young man has three different footprint observations and one short encounter with a large black creature over a three-month period
"Siskiyou County, California",June 2001,(Class A), - Afternoon sighting by hiker outside Dunsmuir
"Siskiyou County, California",July 2000,(Class A), - Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge
"Siskiyou County, California",March 1999,(Class A), - Man has late night sighting north of Redding
"Siskiyou County, California",August 1998,(Class A), - Neighboring Dogs Bark When Loud Vocalizations Heard
"Siskiyou County, California",August 1998,(Class A), - Sighting by a Family on the Banks of the Klamath River near Hornbrook
"Siskiyou County, California",August 1998,(Class A), - Backpacker sighting off the PCT in the Marble Mountains Wilderness
"Siskiyou County, California",August 1997,(Class B), - Forestry workers report possbile encounter along the Klamath River near Orleans
"Siskiyou County, California",July 1994,(Class B), - Witness hears late night screams near Yreka
"Siskiyou County, California",December 1993,(Class A), - Trail bike rider describes being briefly chased at night near Happy Camp
"Siskiyou County, California",July 1993,(Class A), - Creature Seen Heading Down Towards the Lake. 
"Siskiyou County, California",May 1989,(Class A), - Camper awakes to a very large hairy figure 
"Siskiyou County, California",August 1984,(Class B), - Campers observed by unknown animal
"Siskiyou County, California",Summer 1977,(Class B), - Campers have frightening experience in the Marble Mountains Wilderness
"Siskiyou County, California",March 1967,(Class A), - Daylight sighting near Happy Camp
"Siskiyou County, California",Fall 1966,(Class A), - Family has early evening sighting near Weed
"Siskiyou County, California",July 1966,(Class A), - Sighting at East Boulder Lake
"Siskiyou County, California",August 1944,(Class A), - Sister and brother see 3 creatures near Yreka
"Sonoma County, California",September 2007,(Class A), - Nighttime sighting (in headlights) by law enforcement officer on patrol near Cloverdale
"Sonoma County, California",Fall 1991,(Class A), - Man sees creature crossing road near Petaluma
"Sonoma County, California",July 1986,(Class B), - Daylight Sighting by Hikers Near Bennett Mountain
"Sonoma County, California",July 1981,(Class B), - Couple hear late night scream near Fort Ross
"Sonoma County, California",April 1980,(Class A)," - A Young Man, While Camping with 20 Others, Comes Face-to-face with Creature"
